fulfillment_date,order_id,shipping_cost
2026-07-02T11:46:01Z,397385a2-cae1-4a38-a1b8-d0980eb1fbd6,13.66
2026-07-02T17:00:34Z,64e7136c-f06f-4c87-b3dc-91eefb47a1c9,10.47
2026-07-03T02:07:45Z,e6d79fe6-2d89-4014-8402-f9866311899c,5.11
2026-07-03T13:37:24Z,0913e852-991c-4acf-9656-b4fc8454d628,12.09
2026-07-03T15:56:48Z,4a21980a-50da-4e6c-bdec-5bfeb9c487cb,4.64
2026-07-03T17:52:20Z,229e94b7-0e2c-411d-89df-5f33a64d6377,13.36
2026-07-03T18:31:45Z,c5604b39-4de7-4698-9edd-16dcf64dfb00,9.93
2026-07-03T19:00:46Z,7041cdca-183a-477a-bc74-f137c13ab61d,10.67
2026-07-03T19:27:29Z,d4c7c24f-5ad4-42ec-95bd-12257395d5c2,4.73
2026-07-03T19:47:27Z,8c84c41d-309c-4564-8597-dea31dc67eec,12.71
2026-07-03T19:57:17Z,b8cfa0fc-aa04-49e8-b129-a9d6080474ef,8.74
2026-07-03T20:09:00Z,f72950d8-9472-440f-8b56-f452be51d65d,7.63
2026-07-04T02:04:21Z,d63dcb3c-bc6e-4f80-9116-fbcd8158cc44,12.88
2026-07-04T05:03:15Z,6985c6a7-90d0-4d6c-82f1-b509614d0093,13.20
2026-07-04T07:59:10Z,d4b68c41-3fca-4063-8517-ca3aace4ad67,6.12
2026-07-04T10:27:34Z,ad4b9025-84aa-4731-bdd9-bae73edda971,7.13
2026-07-04T16:03:47Z,17e61139-e7db-45e2-a1b4-dfd0da337fb8,4.33
2026-07-04T19:35:32Z,0a384543-a0a4-4a99-9f7a-298c8c5c333b,7.06
2026-07-04T21:21:45Z,92fb33ea-3100-4176-9ede-25c4a6598395,14.98
2026-07-05T00:16:07Z,57cfb9e4-0b64-49ba-a2d9-7250ee524a17,10.88
2026-07-05T02:54:48Z,e88d258e-9e04-4bd8-bb04-8a839b6a77f9,6.69
2026-07-05T04:39:40Z,3e39099f-5f29-4359-8431-843e95ceb046,9.88
2026-07-05T07:26:04Z,f65f98f8-fcb6-4522-9633-38388acfc3fb,6.94
2026-07-05T13:30:38Z,70a38ea2-2d5b-48d4-b1df-13628a4d6777,4.01
2026-07-05T15:40:45Z,5ec47f2d-5bb0-4c8c-bc2c-edba27391ae9,13.12
2026-07-05T19:25:34Z,b8a7e7a9-10c5-49e3-ba2c-5c131b994ce3,13.48
2026-07-05T21:14:04Z,4094f4de-9d4b-413f-8a32-e3f2122b0ded,9.75
2026-07-06T00:31:49Z,086fb43e-6e72-4779-9f83-d22d97ed7791,8.21
2026-07-06T01:01:06Z,de66e729-4f15-46cf-945b-32dd3a84cd6f,12.87
2026-07-06T03:34:29Z,d7226c89-1c3d-425c-96be-ac2d64e3e10f,8.64
2026-07-06T05:50:10Z,76db4228-08ae-4c63-979a-f39b02bd0c91,12.09
2026-07-06T11:35:07Z,e4ad9607-9d0e-4d65-81d6-9adcfb99a8db,5.63
2026-07-06T12:00:41Z,044b1815-ddf7-43f6-a19c-0726b55aa36d,9.11
2026-07-06T14:32:04Z,513c5dd1-64dc-452b-8ecc-1b6a0e342b73,14.59
2026-07-06T15:35:21Z,09177923-1a68-409d-964c-1b97e45c8f0d,11.76
2026-07-06T17:41:19Z,2ebc4cc6-fe62-43ae-bac8-49da3ad8d41d,12.24
2026-07-07T01:06:34Z,afc2e8b3-c0cb-4aee-a82c-00cba3ac06af,5.49
2026-07-07T01:23:38Z,43252ba7-f9ca-4e91-921b-5c231d423e4c,6.72
2026-07-07T06:37:18Z,fed1c610-6a11-4c73-bff3-21e32f906154,4.00
2026-07-07T08:02:34Z,ff92adb0-f0d0-415b-9dba-9ec0fa2a0315,7.00
2026-07-07T16:45:36Z,ccd6b28d-bb2e-478e-a3b0-1d13b558ae11,14.60
2026-07-07T22:56:54Z,67c19c65-370b-4676-9bdc-bb53da9c8669,10.71
2026-07-08T03:27:03Z,8e899680-9295-42cb-87bc-0bed7b746c36,13.18
2026-07-08T05:55:00Z,5b1f76ad-3090-41b2-927b-dfcb8b769fea,7.13
2026-07-08T06:53:27Z,e8d21e58-2231-45f4-aaac-fbec3510bd93,10.81
2026-07-08T07:28:47Z,1c3a7ba2-4c44-40c5-b515-233700e62d42,8.49
2026-07-08T08:42:02Z,439720c5-754d-4ecc-b309-7e5f5bad4e6e,9.39
2026-07-08T12:11:30Z,8707ec2c-98c5-4e7d-ba09-4f6db0eccbc0,12.08
2026-07-08T14:03:54Z,8cc441d7-87ee-4a68-b739-02d9fdee6465,9.44
2026-07-08T16:57:04Z,cea69714-388b-49d1-9600-88543d02ee68,4.21
2026-07-08T17:53:21Z,1c67750b-3e1b-4f97-a5a2-e69dcdff1cad,9.41
2026-07-08T19:16:47Z,379e981c-9031-4988-bbdc-6b80daabeef0,5.39
2026-07-08T20:08:13Z,5e3dcf88-8d4d-4f84-b27c-8aa46df24a56,11.58
2026-07-09T01:47:43Z,b1e791eb-0fab-42be-996c-ea45fbe51b5a,10.14
2026-07-09T01:50:14Z,a2076708-90b8-4d07-b2cb-5134887b984b,9.14
2026-07-09T03:15:40Z,792bf886-8f69-4cd0-bed2-e9ef83bd32eb,12.04
2026-07-09T04:29:12Z,8f636d0d-6169-4401-96b2-c97fb92b3b7c,6.50
2026-07-09T06:08:17Z,833a9fb7-a954-4c85-8fa3-b09551b57108,13.20
2026-07-09T07:33:03Z,17e858c9-24a6-4a08-a6eb-48c91561e6db,11.58
2026-07-09T08:05:01Z,165caebf-f7d0-4508-8e26-0363701aebfc,13.68
2026-07-09T10:48:33Z,8d27b1d9-8846-4324-b3bd-c1d836861028,6.64
2026-07-09T12:24:25Z,2f4d3214-a686-45c6-8731-d7a1f247bda8,5.44
2026-07-09T12:32:02Z,c046bc61-5aee-4083-a62b-122420588e30,14.16
2026-07-09T17:21:56Z,d469b546-590c-47df-a185-6686928d46ee,14.04
2026-07-09T20:09:27Z,e6a392b4-8d53-480f-b222-9f52d267ab19,9.89
