order_date,order_id,item,quantity,item_price
2026-07-01T02:05:46Z,7041cdca-183a-477a-bc74-f137c13ab61d,Hat,4,16.28
2026-07-01T02:05:46Z,7041cdca-183a-477a-bc74-f137c13ab61d,Pants,2,58.67
2026-07-01T03:01:47Z,17e61139-e7db-45e2-a1b4-dfd0da337fb8,Hat,1,16.40
2026-07-01T03:01:47Z,17e61139-e7db-45e2-a1b4-dfd0da337fb8,Pants,1,51.92
2026-07-01T06:14:32Z,0a384543-a0a4-4a99-9f7a-298c8c5c333b,Hat,3,17.20
2026-07-01T06:14:32Z,0a384543-a0a4-4a99-9f7a-298c8c5c333b,Pants,1,55.24
2026-07-01T06:14:32Z,0a384543-a0a4-4a99-9f7a-298c8c5c333b,Shirt,2,31.38
2026-07-01T06:48:21Z,d63dcb3c-bc6e-4f80-9116-fbcd8158cc44,Hat,3,18.80
2026-07-01T06:59:34Z,64e7136c-f06f-4c87-b3dc-91eefb47a1c9,Pants,3,44.97
2026-07-01T06:59:34Z,64e7136c-f06f-4c87-b3dc-91eefb47a1c9,Hat,4,19.38
2026-07-01T06:59:34Z,64e7136c-f06f-4c87-b3dc-91eefb47a1c9,Shirt,2,21.82
2026-07-01T07:10:29Z,d4c7c24f-5ad4-42ec-95bd-12257395d5c2,Shirt,1,30.27
2026-07-01T07:10:29Z,d4c7c24f-5ad4-42ec-95bd-12257395d5c2,Hat,1,17.29
2026-07-01T08:29:40Z,3e39099f-5f29-4359-8431-843e95ceb046,Hat,3,18.55
2026-07-01T08:29:40Z,3e39099f-5f29-4359-8431-843e95ceb046,Shirt,1,30.53
2026-07-01T10:31:01Z,397385a2-cae1-4a38-a1b8-d0980eb1fbd6,Shirt,3,33.18
2026-07-01T13:38:04Z,f65f98f8-fcb6-4522-9633-38388acfc3fb,Shirt,1,27.94
2026-07-01T13:38:04Z,f65f98f8-fcb6-4522-9633-38388acfc3fb,Pants,1,52.01
2026-07-01T18:12:45Z,e6d79fe6-2d89-4014-8402-f9866311899c,Hat,3,21.61
2026-07-01T18:56:45Z,c5604b39-4de7-4698-9edd-16dcf64dfb00,Hat,4,18.96
2026-07-01T18:56:45Z,c5604b39-4de7-4698-9edd-16dcf64dfb00,Shirt,2,22.14
2026-07-01T20:21:07Z,57cfb9e4-0b64-49ba-a2d9-7250ee524a17,Shirt,3,26.81
2026-07-01T20:21:07Z,57cfb9e4-0b64-49ba-a2d9-7250ee524a17,Hat,2,24.72
2026-07-01T20:32:38Z,70a38ea2-2d5b-48d4-b1df-13628a4d6777,Hat,2,18.74
2026-07-01T23:29:34Z,b8a7e7a9-10c5-49e3-ba2c-5c131b994ce3,Shirt,3,21.18
